;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
800;1866994;1493744;1180506;;800;1872363;1324299;403814;;800;1963041;1392633;1065616;;;;;;
;2500711;1425255;664370;;;2288370;1045433;795492;;;2397005;1123194;434091;;;;;;
;2336324;1349219;1139184;;;1697303;760868;1159525;;;1950985;854183;799625;;;;;;
;2182690;1290547;614236;;;2084067;1527718;514778;;;2375380;1580968;1160283;;;;;;
;2008736;1251512;1085675;;;1481965;1250712;867552;;;1798948;1322690;526302;;;;;;
;1849159;1197669;559089;;;1925808;973009;1223052;;;2208163;1062052;885512;;;;;;
;2310105;1131814;1030162;;;2308777;1710848;586485;;;1634482;792177;1248621;;;;;;
;2143297;1068906;501353;;;1755286;1416461;950004;;;2059946;1519873;754658;;;;;;
;1976673;1013212;973608;;;2202342;1118741;1308528;;;1464665;1286167;1308072;;;;;;
;2828839;956800;1447966;;;1603475;818654;662806;;;1910585;1045566;854037;;;;;;
;2689494;1905116;910451;;;2006673;1519194;1015059;;;2359077;780297;1407200;;;;;;
;2543108;1846703;1374356;;;1395768;1267212;364946;;;1797670;1515787;798212;;;;;;
;2399008;1780109;835545;;;1808508;982044;720472;;;2228208;1237844;1173776;;;;;;
;2261449;1716980;1303736;;;2200303;1682602;1075197;;;1770021;967017;548792;;;;;;
;2117668;1652366;765972;;;1593668;1393291;449429;;;2194839;1688409;920793;;;;;;
;1978668;1578797;1249124;;;1989339;1100617;818288;;;1627342;1413718;1285017;;;;;;
;2823911;1519674;728958;;;1376796;812503;1188256;;;2043763;1155837;652879;;;;;;
;2674028;1467791;1193659;;;1757732;1524948;556891;;;1454925;892459;1026972;;;;;;
;2507984;1399607;657731;;;2149095;1233638;912617;;;1876230;1619291;392929;;;;;;
;2365892;1332193;1124026;;;1529265;952653;1272193;;;2298249;1351416;760466;;;;;;
;2212062;1268293;590084;;;1933180;1660453;637932;;;1752380;1066820;1122617;;;;;;
;2043825;1205676;1051106;;;2329467;1374107;999189;;;2167085;798398;552774;;;;;;
;1657832;1138581;512786;;;1724340;1077747;361675;;;1641803;1521115;1110792;;;;;;
;2483399;1070819;977124;;;2135918;783095;721430;;;2069296;1245092;661812;;;;;;
;2315006;1013413;1444002;;;1542740;1489510;1082834;;;1505755;978482;1213957;;;;;;
;2139292;951863;911974;;;1958562;1199450;435127;;;1909201;1717574;622777;;;;;;
;1988830;1890788;1373402;;;2370800;916296;788038;;;2383650;1458402;1019533;;;;;;
;1845755;1818677;839186;;;1769205;1627749;1140304;;;1814816;1193200;395592;;;;;;
;2695832;1764241;1305894;;;2164730;1329048;496364;;;2236379;950242;760883;;;;;;
;2558798;1701908;767956;;;1583578;1036125;847662;;;1655401;1681504;1119830;;;;;;
;2436313;1754458;1246777;;;1345643;844663;1234532;;;2524321;1254212;863464;;;;;;
Promedio;2281989,742;1417959,065;979354,7742;;Promedio;1867260,194;1217860,903;825499,0645;;Promedio;1970116,484;1240858,677;885415,6129;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
1000;4072094;1899687;1093409;;1000;3522293;1532185;1393196;;1000;2818743;1693987;869907;;;;;;
;2778002;2691558;992525;;;3210451;1921196;1089942;;;3533278;2069364;1590198;;;;;;
;4327299;2489415;891648;;;2890498;2298340;797473;;;3246880;1474049;1325599;;;;;;
;3877437;2279998;1792908;;;3563642;1692311;1508610;;;3004266;1853187;1036263;;;;;;
;4449911;2065486;1692312;;;3243264;2108457;1206042;;;2705321;2234781;720208;;;;;;
;4048193;1853392;1602167;;;2919505;1543108;895279;;;3446381;1644498;1407826;;;;;;
;3632885;2647604;1506346;;;3618432;1914271;1583544;;;3141932;2043595;1445207;;;;;;
;4215539;2430531;1401069;;;3299486;2264242;1265401;;;2853091;1444867;1503225;;;;;;
;3079438;2231072;1293762;;;2978355;1622040;953527;;;3579826;1844851;1219980;;;;;;
;3624227;2024437;1201372;;;3654381;1998904;1642111;;;3358953;2237686;923203;;;;;;
;4195767;1828888;1106222;;;3356375;1392450;1327795;;;3068085;1610278;1624220;;;;;;
;3794738;2644403;1010738;;;3029692;1796658;1012624;;;2798530;2025019;1321721;;;;;;
;4404288;2467387;912976;;;2699443;2200959;686755;;;3607913;1429683;1010576;;;;;;
;4003069;2268112;1812464;;;3366248;1583322;1371219;;;3324386;1853772;909975;;;;;;
;3567864;2084884;1710405;;;3065055;1988887;1053627;;;3103108;2231950;1946539;;;;;;
;4145572;1915719;1608846;;;2816412;1395561;744969;;;2810169;1630227;1812054;;;;;;
;3064198;2746641;1504604;;;3546584;1749341;1432330;;;3582934;2023944;1526648;;;;;;
;3618409;2549531;1402023;;;3296906;2104019;1115257;;;3325964;1428767;1237629;;;;;;
;4150585;2340837;1296743;;;3044284;1459067;805559;;;3104900;1805517;934013;;;;;;
;3741667;2131049;1192251;;;2789167;1831608;1496342;;;2846316;2211566;1652533;;;;;;
;3898761;1908124;1095087;;;3523249;2196544;1186345;;;3607772;1597896;1375092;;;;;;
;3607746;2711483;990402;;;3258566;1577762;865046;;;3381941;1993283;1447228;;;;;;
;4176320;2501509;884404;;;2998468;1950625;1547916;;;3102068;1363572;1478520;;;;;;
;3749508;2314201;1778327;;;2727181;2316098;1223540;;;2868658;1744951;1206134;;;;;;
;4357163;2117341;1652892;;;3534406;1685167;919414;;;3606662;2115702;914321;;;;;;
;3930475;1937553;1554493;;;3290969;2189230;1619328;;;3333216;1515345;1627728;;;;;;
;4554892;2755211;1453539;;;3055832;1604630;1339913;;;3066920;1918503;1342264;;;;;;
;3822931;2580166;1356442;;;2744701;1959376;1051225;;;2782471;2291404;1059047;;;;;;
;4386594;2384908;1259584;;;3469152;2323976;761023;;;3498992;1670205;938491;;;;;;
;3098404;2186690;1167618;;;3160712;1691242;1483628;;;3274591;2073633;1968082;;;;;;
;4326532;2154422;1123453;;;3134233;1235432;1234543;;;3567321;1234454;1356525;;;;;;
Promedio;3893564,774;2294910,935;1333581,645;;Promedio;3187352,968;1842806,71;1181081,387;;Promedio;3204889,935;1816468,903;1313901,806;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
1200;5473983;3068117;2257977;;1200;5101882;3261233;1749304;;1200;5724698;2824519;1977497;;;;;;
;5153078;3162310;1809604;;;4705424;2614895;1957486;;;5430163;3171278;2174073;;;;;;
;4822188;3241302;2352065;;;5313294;2945380;2185987;;;5104379;2511821;1869956;;;;;;
;6271380;3161651;1897840;;;4912966;3272087;1429637;;;4804459;2891081;2272773;;;;;;
;5968546;3244470;2448246;;;5516458;2647478;1644086;;;5431103;3291400;1491159;;;;;;
;5654372;3354251;2003479;;;5123113;2998417;1874776;;;5094109;2679155;1694867;;;;;;
