;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
800;1997356;1443142;588692;;800;2761803;1322830;500854;;800;2700847;1625320;1451798
;1527805;1223699;1040743;;;2658856;1302926;993422;;;2767454;1683363;982224
;2063960;1002388;458276;;;2265412;1256628;479600;;;2861820;1717402;1505461
;1635268;775840;866314;;;2165100;1210840;974227;;;2947449;1747031;1037784
;2212205;1554877;1264678;;;1661159;1163995;1475730;;;3004012;1787263;563552
;1765455;1339773;656822;;;2607503;1164970;986137;;;2029663;1825176;1086487
;2282327;1111217;1050562;;;2377737;1187366;1488214;;;2097299;1872054;607614
;1908565;899781;459796;;;1845115;1252725;969964;;;2194723;1921515;1151579
;2532223;1687756;867625;;;2872234;1278285;1456073;;;2288633;1983738;681258
;2131102;1458124;1263619;;;2818770;1366989;947960;;;2337992;1010612;1213439
;1710893;1243090;652281;;;2786453;1404272;1426078;;;2364177;1076825;741492
;2367335;1013376;1048294;;;2748672;1469601;913552;;;2444230;1131368;1271276
;1967605;797937;438549;;;2698884;1570157;1392807;;;2467831;1186501;795756
;2585283;1573514;848787;;;2672559;1644589;880745;;;2572352;1221359;1319056
;2169309;1406243;1256455;;;2637576;1690891;1365505;;;2679033;1244738;851185
;1713788;1206021;652331;;;2730605;1748765;852204;;;2732024;1268209;1378683
;2301529;992222;1048416;;;2798542;1816167;1337043;;;2766348;1339278;895331
;1872436;782099;456636;;;2898658;1847370;822178;;;2787195;1380595;1418442
;2606533;1558974;874553;;;2432282;1932721;1321116;;;2813172;1435481;950435
;2163371;1330384;1279909;;;2370580;1974262;803732;;;2897589;1473573;1487234
;1701033;1121085;683336;;;2358616;2003879;1279609;;;2954739;1526934;1011396
;2281324;907494;1072134;;;2459646;1109036;758973;;;3042508;1578661;536179
;1814632;1702411;458823;;;2563565;1139243;1244176;;;2090650;1619861;1058153
;2350037;1488155;855045;;;2626388;1144678;733954;;;2186643;1667417;588106
;1902537;1267681;1249748;;;2252826;1117881;1227283;;;2258942;1702018;1117919
;2443669;1057164;636985;;;1770049;1120520;710962;;;2308191;1733587;654458
;2024725;842609;1032169;;;2711075;1082551;1196440;;;2406961;1775616;1194170
;1573528;1614984;422212;;;2679592;1089689;683498;;;2457672;1822288;716659
;2114135;1390362;817965;;;2641172;1037149;1170955;;;2541992;1868007;1240445
;1644586;1180079;1210981;;;2353384;1033521;653605;;;2589005;1915648;766340
;2065281;1214523;784321;;;2234251;999758;1136746;;;2235621;1935325;1342512
Promedio;2046123,71;1231838,839;848292,1613;;Promedio;2498679,484;1370459,806;1038172,323;;Promedio;2542798,935;1583121,387;1019884,613
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
1000;3151794;1564638;1648192;;1000;4384672;2711479;1737897;;1000;4792718;1905644;1779353
;3160910;2092181;1415437;;;4365764;2712651;1704449;;;4810555;2798538;1811344
;3223627;1604569;1178660;;;4226629;2624136;1653996;;;4876470;2862886;1843308
;3194307;2104393;941656;;;3825966;2560928;1599311;;;4961778;2860284;1862011
;3189016;1624653;1714775;;;3872661;2471912;1530118;;;4997427;2724852;1882551
;3178159;2143471;1475985;;;4586815;2394168;1476887;;;4123572;2685747;1918073
;3278526;1640079;1234469;;;4431006;2388363;1422447;;;4177883;2706229;1943828
;3280624;2124361;995258;;;4396113;2315553;1388457;;;4188851;2746990;1959755
;3251389;1640260;754528;;;4436836;2242500;1345503;;;4212880;2777282;1984001
;3281174;2171347;1510431;;;4594396;2153858;1298598;;;4281224;2812960;1995047
;3278182;1687118;1267792;;;4722583;2036891;1238830;;;3949475;2865704;1010170
;3270580;2194947;1084954;;;4574686;1920938;1183691;;;4768739;2923604;1039961
;3304360;1718045;885027;;;4465891;2821499;1154002;;;4625178;3051244;1070195
;3302129;2256718;1660770;;;3374234;2773299;1114174;;;4755458;2083934;1017425
;3266008;1793717;1421285;;;4220095;2579070;1047138;;;4856181;2138556;950493
;3243151;2312162;1222341;;;4095517;2466802;974700;;;4932551;2169180;1888850
;3280064;1857092;1016998;;;2943884;2403715;1927296;;;4943074;2259414;1827696
;3287659;2365611;810688;;;3799283;2298230;1877741;;;4950594;2351786;1779221
;3260089;1858023;1582305;;;4575394;2184017;1806241;;;4951355;2373665;1748062
;3244347;2373611;1351692;;;4254890;2083503;1761048;;;4934336;2404427;1701602
;3246476;1905661;1129550;;;3996817;2007817;1730178;;;4905453;2430743;1655054
;3268874;2417136;896798;;;2880608;1960794;1680625;;;5038817;2506710;1606482
;3281228;1940225;1650967;;;3798464;2837575;1628973;;;4070261;2596535;1547455
;3240293;2496453;1408400;;;4590117;2710138;1570276;;;4065316;2587735;1490966
;3208180;2277938;1165866;;;4475081;2641847;1526940;;;4164763;2608008;1426593
;3168570;1795024;924698;;;4180022;2537130;1485638;;;4269520;2629660;1360836
;3117802;2318375;1682004;;;4010290;2478938;1425879;;;4312675;2656387;1310962
;3121885;1827237;1441950;;;3913571;2583893;1378721;;;4353577;2676096;1260558
;3077809;2367598;1208008;;;4111210;2627644;1331687;;;4440447;2713032;1207015
;3060617;1867623;960971;;;3825353;2725984;1288071;;;4018983;2735263;1145256
;3015472;2342134;1325311;;;4135621;2823542;1234235;;;4234672;2734521;1244234
Promedio;3217203,258;2022012,903;1257024,71;;Promedio;4131111,903;2454155,29;1468507,968;;Promedio;4547251,065;2592826,323;1557043,774
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
1200;6551878;3294737;1358830;;1200;5938365;3764629;2132529;;1200;6594966;3730211;2240702
;5837384;2959836;1696709;;;6828248;4188035;1792200;;;7374626;4300537;2029602
;6224719;3569684;2044639;;;6951003;3403865;2491201;;;7808539;3756205;1800294
;5524278;3212930;1399807;;;7005233;3629329;2089281;;;7899764;4214920;2564616
;5897623;2908101;1729362;;;6665261;4018586;1715936;;;8173395;3861962;2330360
;6301469;3539236;2052203;;;6190802;3292878;2339267;;;7381750;4600039;2074570
;5555703;3174361;1391472;;;5077163;3079208;1950238;;;7709014;4195286;1860661
;5884226;2790888;1783940;;;5819180;3298668;2558479;;;7823775;3792216;2651111
;6095320;3448015;2126868;;;6528332;3599740;2196371;;;8155055;4389765;2459192
;5364385;3062998;1456378;;;6408105;3853408;1814130;;;6830763;3936424;2244310
;5644577;2713349;1780872;;;6318299;4018912;2447819;;;7578187;4573699;2019870
;5975473;3408728;2117271;;;6612442;3272452;2046248;;;7928050;4381434;1791827
;6211971;3046291;1467880;;;5565866;3431445;1685603;;;8447907;3911385;2524482
;5524729;2674570;1807472;;;6409231;3643286;2297604;;;8416034;4145270;2134592
;5809487;3368380;2135099;;;6241520;3922386;2094013;;;7773349;3447885;1754511
;6116456;3185423;1511773;;;6533212;4185290;1814673;;;8457018;3735377;2399312
;5484708;2792455;1836191;;;6212484;3429151;2491626;;;7867136;4059495;2026791
;5814148;3514897;2172511;;;5862089;3735591;2162973;;;7896046;3824027;1636245
;6149406;3413391;1527536;;;7233138;4098599;1778639;;;7524320;4574602;2254414
;5550790;3204584;1893542;;;5950936;3359682;2390246;;;7153014;4209737;1861312
;5868673;2929181;2231715;;;6596148;3725348;2008234;;;7619324;4027571;2469429
;6062024;3626546;1595924;;;6817269;4093020;1635278;;;8136461;3625801;2082547
;5313140;3343137;2055147;;;6626083;3372994;2232215;;;7484854;4172248;1691847
;5514375;3007264;1433976;;;7204930;3671006;1856285;;;7920733;3827501;2306733
;5751597;2663360;1767642;;;6839457;3954443;2505025;;;7950575;4528472;1936692
;6010297;3280365;2123810;;;6598688;4224088;2105162;;;7653065;4111246;2554585
;5236650;3009250;1457353;;;6399102;3556692;1731208;;;8019024;3660650;2197190
;5858625;2684207;1793511;;;6352846;3866905;2344070;;;7207177;4227341;1848837
;6170889;3353074;2153014;;;6053607;4275069;1973338;;;6920385;3870820;2559176
;5469211;3004255;1513627;;;6360244;3505671;2589817;;;8120986;4399837;2315693
;6431245;2432154;2341245;;;6323562;3378345;1753452;;;7543467;4234672;2523354
Promedio;5845337,29;3116633,774;1798623,194;;Promedio;6403962,742;3704797,452;2097521,29;;Promedio;7721572,871;4075052,742;2165963,129
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
1400;10577694;4431621;2160414;;1400;9691186;5151939;2707127;;1400;11966913;5915560;3151720
;9424708;4775162;2796347;;;9311884;5017410;3316966;;;12433358;6420159;2806691
;9204770;5108825;2935763;;;9340092;4801164;2886680;;;12973806;5848028;3380007
;9662115;4818211;3110583;;;10019920;5851296;3472080;;;11704980;6859544;3030245
;9395674;5177031;2208545;;;9064271;4957378;3053467;;;12653101;7000301;2644253
;10425269;4584137;2385512;;;9480547;6101985;2339440;;;12091009;6164267;3239477
;9164523;5156031;2533496;;;10887301;5442256;2948746;;;10313175;6420119;2846780
;8839720;4776037;2624659;;;9656976;5641400;3557499;;;12073382;5700730;3460006
;9687184;5206983;2730341;;;9499414;5707086;3119040;;;11795836;5719561;3076434
;9440954;4554422;2794578;;;9356974;5887002;2743455;;;10811320;6142396;2658643
;9301293;4867889;2904148;;;9054004;6245488;3346485;;;12030282;5568506;3339734
;9594426;5390489;3026292;;;8968319;5207748;2964913;;;10967983;6040602;2975287
;9528070;5827067;2168268;;;9894891;5443412;3532729;;;13130371;5571189;2755615
;9440434;5172523;2318086;;;9796439;5246336;3088280;;;11023365;5941347;3691673
;9211070;4484842;2384182;;;9719769;5074864;2662519;;;11732592;6412280;3580848
;9544551;4845721;2480135;;;9724230;5083146;2943071;;;11196495;6003648;3332200
;9410247;5296454;2549664;;;9626131;4818647;3516280;;;12876981;5801325;2988991
;9357820;4711142;2733864;;;9568690;6159437;3104451;;;12627199;7212996;2590716
;9184883;5015463;2871592;;;8392200;5145087;2709661;;;12456045;5688526;3209090
;9108522;4310054;2964206;;;10813381;5186968;3260424;;;10274463;6220194;2861584
;9067403;4660194;3054474;;;9759066;5082890;2885532;;;11945291;6547763;3498779
;9061703;4940075;2191649;;;8757872;4874741;3477833;;;12145800;6666727;3108621
;8925920;5353074;2313898;;;10178013;5749286;3129902;;;11776917;6891986;2736012
;9658992;4747732;2421948;;;9571991;5295159;2711136;;;13766936;6543839;3314453
;9677461;5147901;2574451;;;9856025;5394439;3332798;;;12608116;6125132;2879995
;10156628;4808537;2667592;;;10063663;5435501;2900981;;;12589710;5825434;3454962
;9494659;5246632;2877507;;;9116104;5211662;3494157;;;12724761;6806543;3053822
;9573464;4539225;2954742;;;9291036;5453036;3069694;;;11663677;7123165;2695769
;9428556;4778422;3145706;;;9413324;5948132;2686090;;;11399022;5203911;3300967
;9101528;5050390;2546039;;;9233135;6045470;3234920;;;11642515;5534583;2878036
;9032145;4325364;2743981;;;9342451;5436213;3562135;;;14341342;6434632;2356234
Promedio;9441367,29;4906698,387;2650731,032;;Promedio;9562880,613;5422470,258;3088983,581;;Promedio;12056023,97;6204999,774;3061214,323
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
1600;16286551;7741787;4319152;;1600;13956921;7690351;4163582;;1600;15886278;9760398;4380601
;16673974;7975203;3947548;;;14606688;7616719;4065382;;;17257546;9178904;4406243
;16038981;9275774;4679190;;;13294105;8391933;3822417;;;18223739;8472202;4514793
;15243518;8243232;4267908;;;13444984;8187890;4643080;;;19801084;8820879;4603869
;15529151;8326568;3788046;;;13750262;7429786;4479317;;;18713303;9457718;4524671
;15358633;7909880;4354039;;;14398514;7555502;4439268;;;19551469;9684561;4616793
;15278427;8370931;3890981;;;13597842;8278223;4314339;;;19955913;9219050;4634285
;16026148;7809276;4578006;;;14585251;7410405;4164788;;;19807481;8584541;4754469
;15050307;8226081;4346035;;;14515886;7411148;3976409;;;19327598;8671099;4815462
;15040557;8143211;4222066;;;15072739;7374529;3779761;;;20598208;9014570;4940184
;15230709;7793652;3775726;;;13484619;7363500;4695621;;;20382841;8036796;5124753
;16312639;8220152;4273396;;;13614720;7133858;4540911;;;17215975;8055815;4145939
;16038721;7816394;3789370;;;14061638;7946671;4381652;;;17303494;8458487;4204694
;15715829;8458572;4410689;;;12957073;7946654;4292916;;;17306098;8447774;4285391
;15638483;8023822;3822010;;;14989621;8407152;4111136;;;17245068;8674325;4311979
;15784549;7252814;4360683;;;14101681;8303754;3841253;;;16867861;8870109;4280509
;16748561;7510530;4095888;;;14107587;7335111;4676358;;;15299194;9562322;4331514
;15988267;7841086;3606318;;;13461289;7543480;4414180;;;18880213;9453811;4241802
;15606127;8257295;4257776;;;14929650;7292979;4251853;;;18577775;8942274;4340248
;16268123;7656549;4106725;;;13755872;7582914;4120968;;;17824110;9808491;4328064
;15382078;8029721;4171764;;;15913481;7476980;3960313;;;16599920;9055939;4381301
;15902440;7463851;4422584;;;15173356;7551745;5029011;;;16821254;8587759;4367578
;15981387;8350321;4642345;;;14128421;7671018;3899866;;;17786957;9153838;4325353
;15734747;7754546;4921677;;;13960779;7396645;4596754;;;17724786;9463610;4511705
;15965343;8159490;5175293;;;14548241;7870496;4513784;;;17061890;8808274;4509492
;16450065;7605677;4445399;;;15222517;7902059;4453884;;;15372752;9396657;4509528
;15464070;8708947;4611788;;;13430579;7305565;4316362;;;17778339;8791190;4609963
;15473070;8091807;4802250;;;13531217;7440686;4200206;;;16569722;8867971;4573586
;15474586;7429762;4925061;;;14308287;7496670;4075054;;;15776347;9210205;4534338
;15228602;7821128;4904571;;;13775766;7242073;3640918;;;17958186;8273057;4572385
;15234523;7631489;4973463;;;13562461;7432921;4245321;;;16244654;8565323;4734652
Promedio;15746747,29;7996759,613;4351217,645;;Promedio;14136840,23;7644819,903;4261505,29;;Promedio;17797421,13;8946708,032;4497294,968
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
1800;25676755;12883183;6260288;;1800;21450215;10824322;6334908;;1800;25685523;11792303;7018598
;25418049;13055323;6063126;;;20769159;11116143;5668249;;;26583220;13293687;6117716
;24504612;12411063;5682053;;;22946652;10530363;6015053;;;25162652;13255178;6124649
;24400582;12596319;6416472;;;22765257;11429338;5472447;;;23629942;13557982;7010967
;24489311;12655631;6505366;;;21733427;11147583;5764218;;;26032750;12580573;6070006
;24781832;12694904;6207346;;;20739018;11182436;6190003;;;23953276;12592773;6196799
;24839067;12682385;5851972;;;22932513;10614628;5453916;;;26756612;13135509;6301865
;24853537;12868955;6506012;;;21779080;11419061;5711002;;;24361717;12620989;6461588
;24892027;13048674;6251393;;;22181355;11541238;6127649;;;23154821;13995410;6686834
;25332078;12096608;6312017;;;22069675;10964385;5641972;;;26230138;11915994;6761926
;24381670;12085372;6360805;;;22437772;10394050;6228089;;;26355167;13440959;6775925
;24400842;12198080;6415622;;;21445886;10031141;5453521;;;24818975;12471930;6800164
;24575284;12284391;6472212;;;20925277;10917323;5965039;;;24523992;12488023;6754948
;24639349;12447804;6182493;;;20976257;11469348;6363446;;;24116016;12617427;6996036
;24869844;12420408;5997568;;;20160225;10969508;5769865;;;21867653;13251197;6148015
;24874712;12539059;5689912;;;21466795;12235224;6044822;;;25418134;13389018;6277468
;25268173;12538129;6440917;;;20883976;10417317;5635253;;;26729781;12289805;6670904
;24532765;12927204;6318972;;;21559287;11038649;6035730;;;23963199;12327484;6794369
;24757802;13121115;6224578;;;21435099;10322925;5557333;;;24969089;13695653;6831267
;25001214;12169586;5810041;;;21139836;10664382;5912254;;;23121362;15063382;7091281
;24160423;12301258;6755707;;;21474178;11242844;6222446;;;26038970;12505527;6174427
;24332082;12807079;6478992;;;20851431;10887394;5466429;;;26306749;12237045;5984513
;24413736;13395667;6260814;;;23168816;11729887;5809238;;;25893376;12153976;6098271
;24706849;12941452;6028273;;;21447020;11062484;6129402;;;26944053;12157962;6111209
;24910969;13422883;5933800;;;20816762;10587904;5526870;;;28011092;12943645;6239042
;25034242;12547361;6912862;;;21283046;11156616;5878850;;;23659517;12261442;6326514
;24377499;12447056;6629740;;;19534103;10841985;6151401;;;26767560;12742423;6359828
;24531914;12469092;6449145;;;21019545;11348278;5829222;;;23794950;12837437;6322609
;24553118;12507273;6149082;;;23497901;10641831;6153871;;;26458327;13444972;6270887
;24820936;12480704;5799569;;;20630144;11588703;5685333;;;26238640;12813554;6417885
;24312253;12543256;5623553;;;23124112;11355231;6556345;;;26334653;12532352;6353324
Promedio;24730436,32;12631847,55;6225506,516;;Promedio;21569155,45;11021694,23;5895296;;Promedio;25286513,1;12851793,9;6469349,484
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
